LCSC Part Number,Manufacture Part Number,Manufacturer,Package,Customer #,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price($),Ext.Price($),Product Link
C111691,BS170,onsemi,TO-92-3,,"60V 500mA 5Ω@10V,200mA 830mW 3V@1mA 1 N-Channel TO-92-3 MOSFETs ROHS",yes,25,5,0.1521,3.80,https://www.lcsc.com/product-detail/mosfets_onsemi-bs170_C111691.html
C900941,J109-D26Z,onsemi,TO-92-3,,625mW 40mA@15V N-channel 12Ω 25V TO-92-3 JFETs ROHS,yes,5,1,0.3723,1.86,https://www.lcsc.com/product-detail/jfets_onsemi-j109-d26z_C900941.html
C3198554,ZTX690B,Diodes Incorporated,E-Line(TO-92),,"45V 1W 400@1A,2V 2A NPN E-Line(TO-92) Bipolar (BJT) ROHS",yes,5,1,0.6227,3.11,https://www.lcsc.com/product-detail/bipolar-bjt_diodes-incorporated-ztx690b_C3198554.html
C900800,BC547CTFR,onsemi,TO-92-3,,"45V 500mW 420@2mA,5V 100mA NPN TO-92-3 Bipolar (BJT) ROHS",yes,25,5,0.1639,4.10,https://www.lcsc.com/product-detail/bipolar-bjt_onsemi-bc547ctfr_C900800.html
C112497,ERK2GM100F12OT,AISHI(Aihua Group),"Plugin,D8xL12mm",,"10uF 400V ±20% 160mA@100kHz Plugin,D8xL12mm Aluminum Electrolytic Capacitors - Leaded ROHS",yes,10,10,0.0589,0.59,https://www.lcsc.com/product-detail/aluminum-electrolytic-capacitors-leaded_aishi-aihua-group-erk2gm100f12ot_C112497.html
C445287,UPW2W010MPD,Nichicon,"Plugin,D10xL12.5mm",,"1uF ±20% Plugin,D10xL12.5mm Aluminum Electrolytic Capacitors - Leaded ROHS",yes,20,5,0.2615,5.23,https://www.lcsc.com/product-detail/aluminum-electrolytic-capacitors-leaded_nichicon-upw2w010mpd_C445287.html
C251035,UVC2G4R7MPD1TD,Nichicon,"Plugin,D8xL11.5mm",,"4.7uF 400V ±20% 70mA@120Hz Plugin,D8xL11.5mm Aluminum Electrolytic Capacitors - Leaded ROHS",yes,10,5,0.1515,1.52,https://www.lcsc.com/product-detail/aluminum-electrolytic-capacitors-leaded_nichicon-uvc2g4r7mpd1td_C251035.html
C136295,UHE1H2R2MDD,Nichicon,"Plugin,D5xL11mm",,"2.2uF 50V 2.5Ω@100kHz ±20% 43mA@100kHz Plugin,D5xL11mm Aluminum Electrolytic Capacitors - Leaded ROHS",yes,5,5,0.0477,0.24,https://www.lcsc.com/product-detail/aluminum-electrolytic-capacitors-leaded_nichicon-uhe1h2r2mdd_C136295.html
C250876,UVZ1C100MDD1TA,Nichicon,"Plugin,D5xL11mm",,"10uF 16V ±20% 35mA@120Hz Plugin,D5xL11mm Aluminum Electrolytic Capacitors - Leaded ROHS",yes,10,10,0.0480,0.48,https://www.lcsc.com/product-detail/aluminum-electrolytic-capacitors-leaded_nichicon-uvz1c100mdd1ta_C250876.html
C14665,CC0603JRNPO9BN101,YAGEO,0603,,50V 100pF NP0 ±5% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,100,100,0.0023,0.23,https://www.lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_yageo-cc0603jrnpo9bn101_C14665.html
C1658,0603CG300J500NT,FH (Guangdong Fenghua Advanced Tech),0603,,50V 30pF C0G ±5% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,100,100,0.0028,0.28,https://www.lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_fh-guangdong-fenghua-advanced-tech-0603cg300j500nt_C1658.html
C107088,CC0603KRX7R9BB332,YAGEO,0603,,50V 3.3nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,100,100,0.0025,0.25,https://www.lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_yageo-cc0603krx7r9bb332_C107088.html
C1592,CL10A105KO8NNNC,Samsung Electro-Mechanics,0603,,16V 1uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,100,100,0.0030,0.30,https://www.lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_samsung-electro-mechanics-cl10a105ko8nnnc_C1592.html
C507138,OP07N,HGSEMI,DIP-8,,DIP-8 Operational Amplifier ROHS,yes,5,5,0.1937,0.97,https://www.lcsc.com/product-detail/operational-amplifier_hgsemi-op07n_C507138.html
C22935,0603WAF1004T5E,UNI-ROYAL(Uniroyal Elec),0603,,100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 1MΩ 0603 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0010,0.10,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0603waf1004t5e_C22935.html
C23178,0603WAF4703T5E,UNI-ROYAL(Uniroyal Elec),0603,,100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 470kΩ 0603 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0009,0.09,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0603waf4703t5e_C23178.html
C25819,0603WAF4702T5E,UNI-ROYAL(Uniroyal Elec),0603,,100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 47kΩ 0603 Chip Resistor - Surface Mount ROHS,yes,100,5,0.0008,0.08,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0603waf4702t5e_C25819.html
C31850,0603WAF2202T5E,UNI-ROYAL(Uniroyal Elec),0603,,100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 22kΩ 0603 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0010,0.10,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0603waf2202t5e_C31850.html
C25803,0603WAF1003T5E,UNI-ROYAL(Uniroyal Elec),0603,,100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 100kΩ 0603 Chip Resistor - Surface Mount ROHS,yes,100,5,0.0008,0.08,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0603waf1003t5e_C25803.html
C23182,0603WAF470JT5E,UNI-ROYAL(Uniroyal Elec),0603,,100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 47Ω 0603 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0009,0.09,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0603waf470jt5e_C23182.html
C25126,0402WGF5600TCE,UNI-ROYAL(Uniroyal Elec),0402,,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 560Ω 0402 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0005,0.05,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0402wgf5600tce_C25126.html
C22843,0603WAF1501T5E,UNI-ROYAL(Uniroyal Elec),0603,,100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 1.5kΩ 0603 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0010,0.10,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0603waf1501t5e_C22843.html
C23179,0603WAF4700T5E,UNI-ROYAL(Uniroyal Elec),0603,,100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 470Ω 0603 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0011,0.11,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0603waf4700t5e_C23179.html
C1788488,ST-0-103-A01-T000-RS,YUEN FUNG,Plugin,,125V Single Pole Double Throw (SPDT) Direct Insert 3A Plugin Toggle Switches ROHS,yes,5,1,0.6148,3.07,https://www.lcsc.com/product-detail/toggle-switches_yuen-fung-st-0-103-a01-t000-rs_C1788488.html
C1788497,MT-0-102-F001-T000-RS,YUEN FUNG,Plugin,,125V Single Pole Double Throw (SPDT) Direct Insert 5A Plugin Toggle Switches ROHS,yes,5,1,0.8073,4.04,https://www.lcsc.com/product-detail/toggle-switches_yuen-fung-mt-0-102-f001-t000-rs_C1788497.html
C3201615,BC327-40BK,(DIOTEC),TO-92,,"45V 625mW 250@100mA,1V 800mA PNP TO-92 Bipolar (BJT) ROHS",yes,10,10,0.0429,0.43,https://www.lcsc.com/product-detail/bipolar-bjt_diotec-bc327-40bk_C3201615.html
C3201535,BC556B,(DIOTEC),TO-92,,"65V 500mW 200@2mA,5V 100mA PNP TO-92 Bipolar (BJT) ROHS",yes,20,20,0.0328,0.66,https://www.lcsc.com/product-detail/bipolar-bjt_diotec-bc556b_C3201535.html
C3201547,BC556BBK,(DIOTEC),TO-92,,"65V 500mW 200@2mA,5V 100mA PNP TO-92 Bipolar (BJT) ROHS",yes,20,20,0.0358,0.72,https://www.lcsc.com/product-detail/bipolar-bjt_diotec-bc556bbk_C3201547.html
C3201581,BC558A,(DIOTEC),TO-92,,"30V 500mW 110@2mA,5V 100mA PNP TO-92 Bipolar (BJT) ROHS",yes,10,10,0.0374,0.37,https://www.lcsc.com/product-detail/bipolar-bjt_diotec-bc558a_C3201581.html
C3201523,2N3906,(DIOTEC),TO-92,,"40V 625mW 100@10mA,1V 200mA PNP TO-92 Bipolar (BJT) ROHS",yes,10,10,0.0449,0.45,https://www.lcsc.com/product-detail/bipolar-bjt_diotec-2n3906_C3201523.html
C236948,BC32725TA,onsemi,TO-92,,"45V 625mW 160@100mA,1V 800mA PNP TO-92 Bipolar (BJT) ROHS",yes,5,5,0.1069,0.53,https://www.lcsc.com/product-detail/bipolar-bjt_onsemi-bc32725ta_C236948.html
C16214,DC-005 2.0,BOOMELE(Boom Precision Elec),Plugin,,Bend insert DC Power Receptacle 2mm 6.4mm Plugin DC Power Connectors ROHS,yes,10,10,0.0525,0.53,https://www.lcsc.com/product-detail/dc-power-connectors_boomele-boom-precision-elec-dc-005-2-0_C16214.html
C309277,PJ-609BA,HOOYA,Plugin,,-20℃~+70℃ 6.35mm Headphone Jack 50V 1A Plugin Audio Connectors (Headphones) ROHS,yes,10,1,0.3745,3.75,https://www.lcsc.com/product-detail/audio-connectors-headphones_hooya-pj-609ba_C309277.html
